HotelName,Location,Price,Rating,DistanceFromCenter,RoomType,OriginalPrice,PricePerNight,Discount
SUNRISE HOMES - Close to JBR Beach - Beautiful Studio,Dubai Marina,1063.0,9.4,17.9,One-Bedroom Apartment,1063.0,265.75,0.0
Emaar Residences Dubai Marina by Qstay - Address Dubai Marina,Dubai Marina,2702.0,8.2,18.7,Studio with Balcony,2702.0,675.5,0.0
Al Manara Luxury Maison Suite 1BR Near Jumeirah Beach,Beach & Coast,899.0,8.2,7.8,One-Bedroom Apartment,899.0,224.75,0.0
Exclusive Rate 1BR with Partial Burj Khalifa Views by Deluxe Holiday Homes,Business Bay,1020.0,8.2,1.3,One-Bedroom Apartment,1020.0,255.0,0.0
Palace Dubai Creek Harbour,Dubai Creek,1810.0,9.3,7.6,Deluxe Room King - Complimentary Lagoon Access,2414.0,452.5,25.02
PineaPPLe XPress,Dubai Marina,806.0,7.3,17.2,Deluxe Double Room with Side Sea View,806.0,201.5,0.0
Horizon Rooms JBR,Jumeirah Beach Residence,417.0,9.2,18.4,Single Room with Shared Bathroom,417.0,104.25,0.0
"Four Points by Sheraton Production City, Dubai",Dubai Production City,746.0,8.7,19.7,"Standard King Bed, (Comp. Shuttle to DMCC Metro, Marina Mall & JBR, 20% off on F&B outlet)",746.0,186.5,0.0
VOGO Grand Hotel Formerly Best Western Plus Hotel Dubai Academic City,Dubai,503.0,7.6,16.9,Standard Single Room Non Smoking,503.0,125.75,0.0
Knight Castle Hotel - Formerly known as Carlton Palace Hotel,Deira,1227.0,7.0,8.8,Superior Double or Twin Room with 20% discount on F&B,1227.0,306.75,0.0
Sonder Downtown Towers,Al Satwa,1636.0,8.5,1.4,Two-Bedroom Apartment with Balcony,1636.0,409.0,0.0
Al Jaddaf Rotana Suite Hotel,Bur Dubai,1420.0,9.0,6.3,Twin Bed Room - City View,1420.0,355.0,0.0
"Downtown Views 1BR - Dubai Mall, Fountain & Burj Khalifa access",Zabeel,2017.0,10.0,1.2,One-Bedroom Apartment,2017.0,504.25,0.0
The Star @ JW Marriott Marina,Dubai Marina,2461.0,8.8,18.7,One-Bedroom Apartment,2461.0,615.25,0.0
bnbmehomes - Palm Views,Palm Jumeirah,1126.0,7.1,16.4,Studio with Sea View,1443.0,281.5,21.97
Ramada by Wyndham Dubai Deira,Deira,1253.0,7.9,9.7,"Queen Room - Non-Smoking, 20% off F&B",1253.0,313.25,0.0
Oaks Liwa Heights Hotel Suites,Jumeirah Lakes Towers,1259.0,8.7,18.0,Premier One-Bedroom Suite,1259.0,314.75,0.0
GOLD SKY AVENUE HOTEL,Deira,488.0,7.0,8.8,Standard Double Room,488.0,122.0,0.0
Contemporary design apartment,Dubai Creek,1175.0,7.0,7.5,Apartment,1175.0,293.75,0.0
Regal Studio at The Address Residences Dubai Marina by Deluxe Holiday Homes,Dubai Marina,1166.0,8.5,18.7,One-Bedroom Apartment,1166.0,291.5,0.0
Meliá Desert Palm Member of Meliá Collection,International City,1545.0,9.2,17.8,Palm Deluxe Room,1931.0,386.25,19.99
DAMAC Canal Views Residences,Business Bay,1374.0,7.5,1.4,One-Bedroom Suite with City View,1374.0,343.5,0.0
City Avenue Al Reqqa Hotel,Deira,757.0,8.1,9.0,Standard Double or Twin Room,757.0,189.25,0.0
A Fabulous 1 Bedroom Apartment in Marina Pinnacle,Dubai Marina,1192.0,9.7,17.2,One-Bedroom Apartment,1192.0,298.0,0.0
Winds of the Canal by Lagom - Business Bay Dubai,Business Bay,1194.0,8.0,1.2,Studio Apartment,1194.0,298.5,0.0
Exclusive GLOBALSTAY Apartments in Business Bay Free Parking & More!,Business Bay,1423.0,8.5,1.7,Studio Apartment,1674.0,355.75,14.99
Snug Studio at Upside Living - Business Travel Ready 2209,Business Bay,1282.0,8.5,2.0,Deluxe Queen Studio,1282.0,320.5,0.0
"High-Rise 1BR with Community View and Large Balcony Near the Parks, Binghatti Amber, Jumeirah Village Circle by Deluxe Holiday Homes",Dubai,1090.0,8.5,16.1,One-Bedroom Apartment,1090.0,272.5,0.0
Chic 1BR at The Signature Downtown Dubai by Deluxe Holiday Homes,Downtown Dubai,1238.0,8.5,1.1,One-Bedroom Apartment,1238.0,309.5,0.0
Peaceful 2 Bed Oasis Suite in JVC,Dubai,1250.0,8.5,18.0,Two-Bedroom Apartment,1250.0,312.5,0.0
Silkhaus contemporary 1BDR with Downtown view in DIFC,Trade Centre,2254.0,8.6,1.5,Apartment,2254.0,563.5,0.0
Deal of the Week Stylish 1BR with Partial Burj Views by Deluxe Holiday Homes,Business Bay,1126.0,7.0,1.7,One-Bedroom Apartment,1126.0,281.5,0.0
"Luxury 1br Apt, Ultimate Comfort & Great Location",Dubai Marina,1202.0,9.3,18.2,One-Bedroom Apartment,1202.0,300.5,0.0
Luxury Modern Apt in Dubai Marina - Close to Metro,Dubai Marina,1076.0,8.6,18.0,One-Bedroom Apartment,1076.0,269.0,0.0
Majestic City Retreat Hotel,Bur Dubai,816.0,7.9,6.8,Economy Double or Twin Room,816.0,204.0,0.0
"Jubilant Studio at Sky Gardens, DIFC by Deluxe Holiday Homes",Zabeel,967.0,7.9,2.1,Studio,967.0,241.75,0.0
Executive Studio at Upside Living with Burj Views 2805,Business Bay,1281.0,6.0,2.1,Deluxe Queen Studio,1281.0,320.25,0.0
Rose Plaza Hotel Al Barsha,Al Barsha,790.0,8.4,11.4,Classic King Room - Late check-out 2 pm,790.0,197.5,0.0
Calm Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Zabeel,952.0,7.0,2.1,Studio,952.0,238.0,0.0
Fairmont Dubai,Trade Centre,1843.0,8.5,3.6,King Room,1843.0,460.75,0.0
Airy Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Zabeel,958.0,7.5,2.1,Studio,958.0,239.5,0.0
Hues Boutique Hotel,Deira,631.0,7.0,10.5,Classic Room,631.0,157.75,0.0
Breathtaking Sea and Palm View Spacious Studio with Vibrant Vibes in JBR By SWEET HOMES,Jumeirah Beach Residence,1319.0,9.5,18.4,One-Bedroom Apartment,1319.0,329.75,0.0
Burj Khalifa View 1 Bedroom Apartment With Balcony For Up To 4 Person,Business Bay,2194.0,9.4,1.4,One-Bedroom Apartment,2926.0,548.5,25.02
MENA Plaza Hotel Albarsha At The Mall,Al Barsha,682.0,8.6,11.5,"Deluxe King Smoking Room - 20% off F&B, Laundry and Spa",682.0,170.5,0.0
"Mandarin Oriental Jumeira, Dubai",Jumeirah,4847.0,9.1,3.3,Superior King Room,4847.0,1211.75,0.0
Ivory Grand Hotel Apartments,Al Barsha,744.0,7.6,11.5,Studio,744.0,186.0,0.0
"1BR Apartment in Business Bay, Aykon City",Business Bay,1430.0,9.5,2.7,One-Bedroom Apartment,1430.0,357.5,0.0
SUNRISE HOMES - A Modern Studio near JBR Beach,Dubai Marina,1162.0,9.5,18.0,Queen Studio,1162.0,290.5,0.0
Chic Studio in The Address Residence Dubai Marina by Deluxe Holiday Homes,Dubai Marina,1175.0,9.0,18.7,Studio,1175.0,293.75,0.0
Silkhaus palm view 1BDR with private beach in Emaar Beachfront,Palm Jumeirah,1692.0,7.8,17.3,Apartment,1692.0,423.0,0.0
"Iconic Living - 2BR Apartment in Cayan Tower, Dubai Marina",Dubai Marina,1100.0,9.0,17.6,Two-Bedroom Standard Apartment,1100.0,275.0,0.0
Luxury Studio Apartments Business Bay With Balcony and Free parking by Belvilla,Business Bay,323.0,1.0,1.9,One-Bedroom House,577.0,80.75,44.02
Waldorf Astoria Dubai International Financial Centre,Trade Centre,2818.0,9.4,2.0,Deluxe King Room,2818.0,704.5,0.0
Holiday Inn & Suites - Dubai Science Park by IHG,Al Barsha,648.0,8.8,13.5,Standard King Room,648.0,162.0,0.0
Luxurious one bedroom Apartment with Burj Khalifa View,Downtown Dubai,1610.0,9.9,400.0,One-Bedroom Apartment,1610.0,402.5,0.0
Contemporary 1BR at Vera Tower Business Bay by Deluxe Holiday Homes,Business Bay,931.0,6.0,1.4,One-Bedroom Apartment,931.0,232.75,0.0
Special Offer Stylish 1BR with Pool & City Views by Deluxe Holiday Homes,Zabeel,967.0,6.8,2.1,Studio,967.0,241.75,0.0
Tranquil Studio at The Anwa By Omniyat Dubai Maritime City by Deluxe Holiday Homes,Bur Dubai,847.0,8.1,8.3,Studio,847.0,211.75,0.0
Stylish 1BD in Al Barsha w/ Great View and Jacuzzi,Al Barsha,843.0,8.1,14.1,One-Bedroom Apartment,843.0,210.75,0.0
Trendy 1-Bedroom Apartment for 4 in Business Bay,Business Bay,1129.0,10.0,1.9,One-Bedroom Apartment,1129.0,282.25,0.0
Luxury 1 Bedroom On Marina Walk,Dubai Marina,1665.0,9.5,19.5,One-Bedroom Apartment,1665.0,416.25,0.0
Frank Porter - Marina Views T1,Dubai Marina,1197.0,9.0,18.4,Studio,1197.0,299.25,0.0
Nas House Private Villas,Al Barsha,1591.0,8.7,11.9,Twin Room with Shared Bathroom,1591.0,397.75,0.0
VayK - Great 1-Bedroom Apartment in JBR,Jumeirah Beach Residence,1511.0,8.7,19.3,Apartment,1511.0,377.75,0.0
Wyndham Residences The Palm,Palm Jumeirah,1962.0,8.6,18.4,Deluxe Studio with Private Beach Access,1962.0,490.5,0.0
Dubai Marina Royal Premium Serviced Apartments Marina Wharf - KIDS STAY FREE plus free check in 24 hours,Dubai Marina,1237.0,8.6,19.6,Apartment,1237.0,309.25,0.0
Stylish & Lively 1BDR in Marina Quay,Dubai Marina,608.0,8.6,19.1,One-Bedroom Apartment,608.0,152.0,0.0
Lotus Grand Hotel,Deira,451.0,6.1,9.0,Deluxe Double or Twin Room,518.0,112.75,12.93
FORTUNE ATRIUM HOTEL,Bur Dubai,486.0,7.7,7.3,Standard Double Room,540.0,121.5,10.0
Modern Executive Studio at Upside Living,Business Bay,1504.0,7.7,2.1,Deluxe Queen Studio,1504.0,376.0,0.0
SUNRISE HOMES - A Cozy Studio next to JBR Beach,Jumeirah Beach Residence,1013.0,9.5,18.0,One-Bedroom Apartment,1013.0,253.25,0.0
Apartment With 2 Bedroom In Financial Center Rd 109 - Dubai,Zabeel,1422.0,9.5,1.2,Two-Bedroom Apartment,1422.0,355.5,0.0
"Super Host at Highest Residential Tower in the world, Private Rooms in a Shared apartment",Dubai Marina,994.0,9.1,17.3,Queen Room with Pool View,994.0,248.5,0.0
Modern Elegance in Downtown 1BR with Luxe Decor by Petals Holiday Homes,Downtown Dubai,1108.0,8.0,400.0,One-Bedroom Apartment,1108.0,277.0,0.0
Luxury Stay at Forte Emaar - 5 Min Walk to Burj,Downtown Dubai,1418.0,9.3,350.0,One-Bedroom Apartment,1418.0,354.5,0.0
Creston Suites The Dubai Mall Residences,Downtown Dubai,1203.0,7.7,0.7,King Studio,1203.0,300.75,0.0
bnbmehomes - Damac Hills - Carson Tower,Dubai,714.0,8.5,19.2,Studio Apartment,840.0,178.5,15.0
Skyline 20th 1br With Stunning Burj Khalifa View,Business Bay,1474.0,6.8,1.4,One-Bedroom Apartment,1602.0,368.5,7.99
Opulent Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Zabeel,965.0,7.0,2.1,Studio,965.0,241.25,0.0
Apartment With 1 Bedroom In Meydan One - Nad Al Sheba 1 - Dubai,Dubai,867.0,7.0,4.3,One-Bedroom Apartment,867.0,216.75,0.0
Affordable Luxury Modern 1BR with Pool & Balcony by Deluxe Holiday Homes,Zabeel,944.0,7.0,2.1,Studio,944.0,236.0,0.0
Carlton Tower Hotel,Deira,852.0,8.4,8.7,Budget Single Room,852.0,213.0,0.0
Majestic Premier Hotel Burdubai,Bur Dubai,842.0,8.5,7.4,"Classic Room, 1 King",842.0,210.5,0.0
Apartment With 1 Bedroom In Mohammed Bin Rashid - Dubai,Dubai,867.0,8.5,4.1,One-Bedroom Apartment,867.0,216.75,0.0
Silkhaus stunning 1BDR with access to Souq Al Bahar in Downtown,Downtown Dubai,1301.0,5.2,450.0,Apartment,1301.0,325.25,0.0
The Burj Khalifa Suite Luxury 2-bed in Burj Royale,Downtown Dubai,3461.0,9.9,0.9,Two-Bedroom Deluxe Apartment with Balcony,3461.0,865.25,0.0
Homey Upgraded 1BDR apartment Th8 w Beach Access,Palm Jumeirah,2953.0,9.7,18.5,Apartment,2953.0,738.25,0.0
Sunny Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Zabeel,949.0,6.7,2.1,Studio,949.0,237.25,0.0
Luxury 1 Bedroom Burj Khalifa Downtown,Downtown Dubai,1295.0,9.1,450.0,One-Bedroom Apartment,1295.0,323.75,0.0
Nice 2 bedroom apartment-minimum 5 night,Dubai Marina,1532.0,8.9,19.6,Two-Bedroom Apartment,1532.0,383.0,0.0
"The Manor By JA, Dubai",Dubai,833.0,8.4,23.6,Simplicity,1041.0,208.25,19.98
Modern studio in Arjan - Dubai,Al Barsha,596.0,9.7,14.9,One-Bedroom Apartment,596.0,149.0,0.0
Available for 4 people 1BR near Burj Khalifa,Business Bay,801.0,9.7,1.3,One-Bedroom Apartment,801.0,200.25,0.0
Urban Charm: Luxe 1BR Haven Near Downtown Dubai,Dubai,1515.0,9.7,4.2,One-Bedroom Apartment,1515.0,378.75,0.0
"Renaissance Business Bay Hotel, Dubai",Business Bay,1208.0,8.9,1.4,"Superior King Room with City View (Complimentary Shuttle to Dubai Mall, Metro & La Mer Beach)",1208.0,302.0,0.0
AWS Holiday Homes - Unique Views at Damac Heights,Dubai Marina,3089.0,8.2,17.5,Two-Bedroom Apartment,3089.0,772.25,0.0
"Fully-equipped studio Palm Jumeirah, Seven",Palm Jumeirah,1841.0,10.0,16.4,King Studio,1841.0,460.25,0.0
The Leela Hotel,Deira,511.0,5.9,8.7,Superior King Room,511.0,127.75,0.0
Rove Expo City,Dubai World Central,1037.0,9.2,28.9,Cosy Rover Room,1037.0,259.25,0.0
Silkhaus Elite 1BDR at Binghatti Venus in JVC,Dubai,1068.0,9.2,17.6,Apartment,1068.0,267.0,0.0
Escape 24 Modern Studio at Damac Maison Prive in Heart of Business Bay,Business Bay,1006.0,9.0,1.2,Studio Apartment,1006.0,251.5,0.0
Ibis Al Rigga,Deira,547.0,7.8,9.2,Standard Double Room,547.0,136.75,0.0
"La Buena Vida Holiday Homes - Luxe 1BD, boutique apt full lakeview 1m to Metro, Lake & Almas Tower",Jumeirah Lakes Towers,1869.0,9.3,19.3,One-Bedroom Deluxe Apartment,1869.0,467.25,0.0
Upgraded Cozy 1BR at Bahar with great view,Beach & Coast,883.0,9.0,18.9,One-Bedroom Apartment,883.0,220.75,0.0
"TIME Grand Plaza Hotel, Dubai Airport",Al Qusais,608.0,8.4,13.7,Executive Twin Room,608.0,152.0,0.0
Luma Escape Dubai,Dubai,852.0,8.5,15.8,One-Bedroom Apartment,852.0,213.0,0.0
Vida Creek Beach Hotel,Dubai Creek,1657.0,9.4,7.8,Deluxe Room Twin,1657.0,414.25,0.0
Chic 1BR Apartment at Collective 2 Tower A Dubai Hills by Deluxe Holiday Homes,Dubai,1089.0,10.0,9.3,One-Bedroom Apartment,1089.0,272.25,0.0
Luxury Interior Studio with Direct Burj Khalifa Views in the Heart of Dubai,Dubai,964.0,9.0,3.5,Studio Apartment with Balcony,964.0,241.0,0.0
"Elegant 1BR in 5242 Tower 1, Dubai Marina by Deluxe Holiday Homes",Dubai Marina,1475.0,9.0,20.3,One-Bedroom Apartment,1475.0,368.75,0.0
Premier Inn Dubai Silicon Oasis,Dubai Silicon Oasis,383.0,8.3,13.0,Double Room - Non Smoking - Free Shuttle to Metro 4x Daily,383.0,95.75,0.0
City center with Burj View!,Downtown Dubai,1670.0,9.5,1.0,Deluxe One-Bedroom Apartment with City View,1670.0,417.5,0.0
Radisson Dubai Damac Hills,Dubai,802.0,8.7,19.7,Standard Room,802.0,200.5,0.0
Luxurious one bedroom Apartment,Business Bay,2428.0,8.7,0.8,One-Bedroom Apartment,2428.0,607.0,0.0
Luxurious 2-bedroom Apartment in Downtown with Burj Khalifa View,Downtown Dubai,2522.0,9.6,400.0,Two-Bedroom Apartment,2522.0,630.5,0.0
GuestReady - Marina Walk View at JW Marriott,Dubai Marina,4479.0,9.9,18.7,Apartment,4479.0,1119.75,0.0
Luxury & Stylish Studio - JVC,Dubai,1387.0,9.9,16.9,One-Bedroom Apartment,1387.0,346.75,0.0
Sophisticated 1BR with Pool View in Belgravia Square JVC,Dubai,1411.0,9.0,16.3,Superior One-Bedroom Apartment with Balcony,1411.0,352.75,0.0
GuestReady - Splendid Stay in Dubai Marina,Dubai Marina,3043.0,9.2,18.1,Apartment,3043.0,760.75,0.0
Classic Capsule Holiday Homes,Bur Dubai,28.0,4.5,7.2,One-Bedroom House,28.0,7.0,0.0
Signature Inn Hotel Deira,Deira,341.0,5.0,9.3,Deluxe King Room,341.0,85.25,0.0
Breathtaking Sea View Apartment,Jumeirah Beach Residence,1958.0,9.7,19.7,Apartment,1958.0,489.5,0.0
Star Metro Deira Hotel Apartments,Deira,1056.0,7.8,9.8,One bedroom King Apartment,1056.0,264.0,0.0
PRIVACASA - Vida Residences Creek Beach 901,Dubai Creek,1785.0,9.5,7.8,Two-Bedroom Apartment,1785.0,446.25,0.0
FIVE Jumeirah Village,Dubai,1704.0,9.1,17.0,Superior,1704.0,426.0,0.0
Towers Rotana - Dubai,Trade Centre,1752.0,8.4,2.0,Guest Room - King Bed,1752.0,438.0,0.0
Graceful 1BR at Park Heights Dubai Hills MBR City by Deluxe Holiday Homes,Dubai,1187.0,9.5,9.5,One-Bedroom Apartment,1187.0,296.75,0.0
Bright 1BR with balcony in Luma 22,Dubai,914.0,7.8,15.8,One-Bedroom Apartment,914.0,228.5,0.0
Stylish Studio in Business Bay Close to Burj Khal,Business Bay,1195.0,7.8,1.1,Studio,1195.0,298.75,0.0
"Th8 Palm Dubai Beach Resort, Vignette Collection by IHG",Palm Jumeirah,1742.0,8.5,18.5,Deluxe King Room,1742.0,435.5,0.0
Elegant Studio - Golf Views - Sports City - Dubai,Dubai,673.0,9.5,18.4,Studio Apartment,673.0,168.25,0.0
Edge Creekside Hotel,Deira,1213.0,8.9,8.7,Deluxe King Room,1213.0,303.25,0.0
"Luxury Studio Apartment in Prive By Damac B, Business Bay by Deluxe Holiday Homes",Business Bay,971.0,8.9,1.3,Studio,971.0,242.75,0.0
Millennium Place Mirdif,Dubai,773.0,8.1,17.3,Studio with Kitchen,773.0,193.25,0.0
Soothing Studio Getaway In Marquise Square -Business Bay,Business Bay,842.0,8.1,1.2,Studio,842.0,210.5,0.0
Elegant Studio Apartment In Meydan One,Dubai,743.0,10.0,4.6,Single Room,743.0,185.75,0.0
Ritz Carlton Residences DIFC Downtown Dubai,Trade Centre,3976.0,8.9,2.1,One-Bedroom Apartment,3976.0,994.0,0.0
Kasco Homes Waves Tower Business Bay,Business Bay,1799.0,8.6,1.7,One-Bedroom Suite,1799.0,449.75,0.0
Capitol Hotel Jumeirah Dubai,Beach & Coast,663.0,6.6,5.2,Standard Double Room,663.0,165.75,0.0
Elegant studio in a calm fully serviced community,Dubai,621.0,6.6,3.7,Deluxe Queen Studio,621.0,155.25,0.0
GuestReady - Opulent Residence in Dubai Marina,Dubai Marina,4210.0,9.1,19.4,Apartment,4210.0,1052.5,0.0
Jumeira Rotana – Dubai,Beach & Coast,902.0,7.8,4.7,Guest Room - Twin Bed,902.0,225.5,0.0
Burj Khalifa Views 2BR with Infinity Pool Downtown,Business Bay,3237.0,9.0,0.8,Two-Bedroom Apartment,3237.0,809.25,0.0
Icon Delux Hotel Apartments Al Barsha - Formerly Abidos,Al Barsha,842.0,8.8,11.5,Deluxe One-Bedroom Apartment,842.0,210.5,0.0
"Bulgari Resort, Dubai",Jumeirah,6626.0,9.4,4.0,Superior King Guest Room with Balcony,6626.0,1656.5,0.0
Vida Creek Harbour,Dubai Creek,1418.0,9.1,7.3,City View Deluxe Room King - Free Shuttle to Dubai Mall & La Mer Beach,1418.0,354.5,0.0
"Luxury Living , Beautiful Layout",Business Bay,947.0,9.1,1.2,One-Bedroom Apartment,947.0,236.75,0.0
Frank Porter - Zada Tower,Business Bay,1437.0,10.0,1.6,Apartment,1437.0,359.25,0.0
Jovial 1BR at Collective Tower 2 Mohammed Bin Rashid City by Deluxe Holiday Homes,Dubai,1089.0,9.0,9.3,One-Bedroom Apartment,1089.0,272.25,0.0
Luxurious New Studio! 2 Double Beds! Sleek Design & High-End Amenities in Dubai Downtown,Downtown Dubai,2712.0,8.6,1.0,One-Bedroom Apartment with Balcony,2712.0,678.0,0.0
FAM Living - RP Heights - 3 Mins Walk to Burj Khalifa & Dubai Mall Downtown Dubai,Downtown Dubai,1721.0,8.5,1.2,Deluxe One-Bedroom Apartment,1721.0,430.25,0.0
Holiday Inn Dubai Al-Maktoum Airport by IHG,Dubai World Central,587.0,7.8,38.6,Standard Room,587.0,146.75,0.0
Elegant furnished 1BR Apartment in Princess Tower By Bhavan Vacation Homes,Dubai Marina,1710.0,9.1,17.3,One-Bedroom Apartment,1710.0,427.5,0.0
Apartment With 1 Bedroom In Marina Torch - Al Marsa St - Dubai,Dubai Marina,1460.0,9.1,17.3,Two-Bedroom Apartment,1460.0,365.0,0.0
Frank Porter - Majestine 1,Business Bay,1504.0,8.5,1.4,Apartment,1504.0,376.0,0.0
"Grande Apartment 1 Bedroom With Amazing pool, gym and Location",Downtown Dubai,4253.0,8.7,30.0,One-Bedroom Apartment with Balcony and City View,4253.0,1063.25,0.0
Sea View Hotel Dubai,Bur Dubai,571.0,7.6,6.8,Deluxe Room,571.0,142.75,0.0
OYO HOME 1407 One Bedroom Apartments Binghatti Emerald,Dubai,513.0,7.6,16.5,One-Bedroom Apartment,513.0,128.25,0.0
Vida Dubai Mall,Downtown Dubai,2573.0,9.0,1.1,Deluxe Room King City View,3217.0,643.25,20.02
Vendome Plaza Hotel,Deira,703.0,6.7,8.9,Standard King Room,703.0,175.75,0.0
"Emaar Residences Fashion Avenue, formerly Address Dubai Mall",Downtown Dubai,2401.0,7.5,0.6,One-bedroom Apartment with Downtown View,2401.0,600.25,0.0
Ascot Hotel,Bur Dubai,767.0,6.8,7.4,Deluxe Room,767.0,191.75,0.0
ME Dubai by Meliá,Business Bay,2060.0,9.0,0.9,Always ME,2575.0,515.0,20.0
Pearl Swiss Hotel,Deira,597.0,7.3,9.0,Superior King Room,597.0,149.25,0.0
White Sage Stunning New Studio in Marina,Dubai Marina,807.0,8.0,18.2,One-Bedroom Apartment,850.0,201.75,5.06
Landmark Summit Hotel,Deira,508.0,7.3,9.0,Deluxe Double - King,508.0,127.0,0.0
"Hotel Boulevard, Autograph Collection",Downtown Dubai,2575.0,9.1,0.6,Deluxe King Room,2575.0,643.75,0.0
Ahlan Premium Luxury Marina Cityview JBR,Jumeirah Beach Residence,1311.0,8.8,19.1,Family Room with Private Bathroom,1311.0,327.75,0.0
Frank Porter - Aykon City Tower,Business Bay,1526.0,8.0,2.7,Apartment,1526.0,381.5,0.0
Dubai Scenic Infinity Pool with Burj Khalifa Views,Business Bay,3039.0,8.4,0.8,One-Bedroom Apartment with Balcony,3039.0,759.75,0.0
Frank Porter - Damac Prive B,Business Bay,1178.0,7.1,1.2,Studio,1178.0,294.5,0.0
