HotelName,Location,Price,Rating,DistanceFromCenter,RoomType,OriginalPrice,PricePerNight,Discount
VayK - Modern 1 BD in Downtown Dubai,Downtown Dubai,2171.0,8.8,350.0,One-Bedroom Apartment with Balcony and City View,2171.0,542.75,0.0
Elegant 1BR in Grande Downtown with Pool,Downtown Dubai,2067.0,8.8,200.0,One-Bedroom Apartment with Balcony and City View,2583.0,516.75,19.98
MD Hotel By Gewan,Al Barsha,801.0,9.0,12.2,Deluxe King Room - Complimentary Transfer to Bluewater Island and JBR,890.0,200.25,10.0
Jumeirah Creekside Dubai,Garhoud,1055.0,8.7,8.6,"Deluxe Room - Complimentary Shuttle to GGICO Metro, Dubai Mall, Mall of Emirates & Kite Beach",1055.0,263.75,0.0
"Leva Hotel and Suites, Opposite Downtown",Al Wasl,966.0,8.8,0.9,Deluxe King Room,966.0,241.5,0.0
Holiday Inn Express Dubai Internet City by IHG,Dubai Internet City,808.0,8.4,14.7,Standard Twin Room - Smoking,808.0,202.0,0.0
Fendi 1BR with Panoramic Sea View,Palm Jumeirah,2251.0,8.4,16.8,One-Bedroom Apartment with Balcony and Sea View,2814.0,562.75,20.01
JVC Hideaway with Balcony Modern & Serene,Dubai,2124.0,8.4,15.9,One-Bedroom Apartment with Balcony,2124.0,531.0,0.0
The First Collection Dubai Waterfront,Business Bay,1217.0,8.8,1.7,Deluxe Room,1872.0,304.25,34.99
"FORM Hotel Al Jaddaf, Dubai, a Member of Design Hotels",Bur Dubai,640.0,8.8,6.9,Cozy Queen Room with City View,640.0,160.0,0.0
Amazing Spacious Studio in JVC,Dubai,634.0,8.8,15.7,One-Bedroom Apartment,634.0,158.5,0.0
FAM Living - Stunning Modern Marina Apartment,Dubai Marina,741.0,8.8,20.0,Studio Apartment with Balcony,741.0,185.25,0.0
EasyGo- Lavish 2BR-Terrace-View-Infinity pool,Business Bay,2437.0,8.8,1.8,Two-Bedroom Apartment with Balcony,2437.0,609.25,0.0
Rove Trade Centre,Trade Centre,782.0,9.1,4.2,"Rover Room - Free Shuttle Bus to Dubai Mall, Metro & Beach",782.0,195.5,0.0
"Residence Inn by Marriott Sheikh Zayed Road, Dubai",Trade Centre,1125.0,8.6,1.6,"Deluxe Studio with 1 King, City view",1125.0,281.25,0.0
City Premiere Marina Hotel Apartments,Dubai Marina,899.0,8.6,18.3,Standard One-Bedroom Apartment,2367.0,224.75,62.02
"Marriott Hotel Al Jaddaf, Dubai",Bur Dubai,1126.0,8.2,4.6,"Deluxe King Room – Free Shuttle to DWTC, Dubai Mall, Beach",1126.0,281.5,0.0
"Radisson Blu Hotel, Dubai Canal View",Business Bay,1146.0,8.7,1.8,Standard Room,1146.0,286.5,0.0
Prime Studio in the Heart of JVC-Dubai,Dubai,809.0,8.7,15.7,King Studio,809.0,202.25,0.0
GOLDEN NUMBER by Design Studio,Dubai,1676.0,8.7,16.1,Two-Bedroom Apartment with Balcony,1676.0,419.0,0.0
"Sheraton Mall of the Emirates Hotel, Dubai",Al Barsha,1430.0,8.5,10.9,"Deluxe Twin Room, City view",1430.0,357.5,0.0
Gateway Hotel,Bur Dubai,619.0,8.4,7.5,Deluxe Double Room,619.0,154.75,0.0
Stunning 1-Bedroom in JVC-Bloom Tower A,Dubai,987.0,8.4,15.9,One-Bedroom Apartment,987.0,246.75,0.0
City Premiere Hotel Apartments - Dubai,Business Bay,899.0,8.5,1.0,Standard One-Bedroom Apartment,899.0,224.75,0.0
